Designator,Mid X,Mid Y,Rotation,Layer
R47,128.651799,-91.3767,0.0,top
R48,150.495,-91.567,180.0,top
R49,150.495,-90.805,180.0,top
R5,115.4905,-89.739,180.0,top
R50,150.495,-93.091,180.0,top
R51,150.495,-92.329,180.0,top
R52,133.9585,-90.17,180.0,top
R53,140.7505,-88.318,0.0,bottom
R55,142.494,-93.472,90.0,bottom
R56,138.176,-93.472,90.0,bottom
R58,145.6255,-80.539,180.0,bottom
R59,139.38,-88.5455,90.0,bottom
R6,114.5805,-105.664,180.0,bottom
R60,124.3255,-80.539,0.0,bottom
R61,143.6635,-107.442,0.0,top
R62,139.8905,-110.139,0.0,bottom
R63,160.528,-102.7695,270.0,bottom
R64,157.607,-100.203,270.0,bottom
R65,131.572,-87.63,90.0,top
R67,124.079,-75.3375,270.0,bottom
R68,133.858,-75.3625,270.0,bottom
R69,134.747,-75.3375,270.0,bottom
R7,121.412,-102.743,90.0,bottom
R70,145.9655,-105.439,0.0,bottom
R71,140.3615,-94.107,0.0,bottom
R72,144.526,-75.3625,270.0,bottom
R73,145.415,-75.3625,270.0,bottom
R74,155.321,-75.3625,270.0,bottom
R75,156.21,-75.3375,270.0,bottom
R8,126.358,-100.4465,90.0,bottom
R9,118.364,-114.9615,270.0,bottom
S1,116.289,-117.153,0.0,top
SW1,115.443,-107.95,0.0,top
U1,127.458,-97.4765,90.0,bottom
U10,133.202,-85.05,180.0,top
U12,154.708002,-94.48205,90.0,bottom
U2,116.139001,-116.773998,270.0,bottom
U3,130.801299,-100.362,180.0,top
U4,128.832998,-79.389001,180.0,bottom
U5,138.557,-107.442,90.0,top
U6,135.697,-115.05,0.0,top
U7,150.114,-79.389001,180.0,bottom
U8,141.645,-91.515,270.0,top
U9,140.335,-91.567,90.0,bottom
